"id","created_at","updated_at","deleted_at","ware_house_image_id","size_part_width","size_part_height","size_part_depth","annotation_name","annotation_pose","annotation_truncated","annotation_difficult","bndbox_ymin","bndbox_ymax","bndbox_xmin","bndbox_xmax","product_id","camera_area_id","product_count","warehouse_id","name","camera_id"
1454,,,,1,712.1,869.07,3,"220035",,0,0,1095.1134,1964.1859,1850.395,2562.492,1,3,4,1,"1591887076.jpg",1
1,,,,14,562.88,631.95,3,"220050",,0,0,3009.7936,3641.747,486.4255,1049.3017,56,97,1,4,"1597738371610200806-tempo-test-a-0002-3840jpg_1597738431.jpg",14
2,,,,14,555.41,591.96,3,"220052",,0,0,3029.345,3621.3014,1126.7181,1682.1282,296,98,1,4,"1597738371610200806-tempo-test-a-0002-3840jpg_1597738431.jpg",14
3,,,,14,636.13,509.65,3,"220079",,0,0,3043.0226,3552.673,1733.5901,2369.7241,164,99,1,4,"1597738371610200806-tempo-test-a-0002-3840jpg_1597738431.jpg",14
4,,,,14,558.73,529.98,3,"220041",,0,0,2132.2456,2662.2295,513.9793,1072.7091,24,100,1,4,"1597738371610200806-tempo-test-a-0002-3840jpg_1597738431.jpg",14
5,,,,14,572.89,573.49,3,"220050",,0,0,2105.8525,2679.3406,1162.9855,1735.8734,56,101,1,4,"1597738371610200806-tempo-test-a-0002-3840jpg_1597738431.jpg",14
6,,,,14,581.65,535.28,3,"220036",,0,0,2130.2302,2665.5142,1769.0401,2350.6867,8,102,1,4,"1597738371610200806-tempo-test-a-0002-3840jpg_1597738431.jpg",14
7,,,,14,586.69,540.49,3,"220064",,0,0,1193.6045,1734.0966,527.3794,1114.0712,104,103,1,4,"1597738371610200806-tempo-test-a-0002-3840jpg_1597738431.jpg",14
8,,,,14,553.65,536.97,3,"220081",,0,0,1191.7676,1728.7394,1152.0876,1705.7393,172,104,1,4,"1597738371610200806-tempo-test-a-0002-3840jpg_1597738431.jpg",14
9,,,,14,599.34,482.17,3,"220080",,0,0,1248.3896,1730.5609,1782.7666,2382.1077,168,105,1,4,"1597738371610200806-tempo-test-a-0002-3840jpg_1597738431.jpg",14
10,,,,14,359.89,390.55,3,"220040",,0,0,462.049,852.6015,583.7128,943.6048,20,98,1,4,"1597738371610200806-tempo-test-a-0002-3840jpg_1597738431.jpg",14
11,,,,14,498.49,551.39,3,"220078",,0,0,305.5165,856.9044,1169.5094,1667.9981,160,107,1,4,"1597738371610200806-tempo-test-a-0002-3840jpg_1597738431.jpg",14
12,,,,14,575.25,534.87,3,"220030",,0,0,295.242,830.1122,1768.8955,2344.1453,292,108,1,4,"1597738371610200806-tempo-test-a-0002-3840jpg_1597738431.jpg",14
13,,,,15,572.94,626.13,3,"220050",,0,0,3014.756,3640.8831,494.6301,1067.569,56,97,1,4,"1597738371612200806-tempo-test-a-0003-3840jpg_1597738438.jpg",14
14,,,,15,561.15,564.65,3,"220079",,0,0,3067.1182,3631.7653,1146.9633,1708.1141,164,98,1,4,"1597738371612200806-tempo-test-a-0003-3840jpg_1597738438.jpg",14
15,,,,15,551.84,670.91,3,"220052",,0,0,2952.0663,3622.9715,1767.4248,2319.268,296,99,1,4,"1597738371612200806-tempo-test-a-0003-3840jpg_1597738438.jpg",14
16,,,,15,562.98,531.15,3,"220078",,0,0,2157.1892,2688.3382,503.5603,1066.5419,160,100,1,4,"1597738371612200806-tempo-test-a-0003-3840jpg_1597738438.jpg",14
17,,,,15,585.62,529.68,3,"220050",,0,0,2115.5501,2645.2345,1162.838,1748.4627,56,101,1,4,"1597738371612200806-tempo-test-a-0003-3840jpg_1597738438.jpg",14
18,,,,15,594.86,559.66,3,"220036",,0,0,2108.6632,2668.3258,1757.1662,2352.0276,8,102,1,4,"1597738371612200806-tempo-test-a-0003-3840jpg_1597738438.jpg",14
19,,,,15,585.53,530.04,3,"220064",,0,0,1198.4605,1728.4993,533.9152,1119.4454,104,103,1,4,"1597738371612200806-tempo-test-a-0003-3840jpg_1597738438.jpg",14
20,,,,15,571.68,548.39,3,"220081",,0,0,1183.1762,1731.5704,1148.2864,1719.9614,172,104,1,4,"1597738371612200806-tempo-test-a-0003-3840jpg_1597738438.jpg",14
21,,,,15,554.15,586.81,3,"220030",,0,0,1141.057,1727.872,1773.8511,2328.0026,292,105,1,4,"1597738371612200806-tempo-test-a-0003-3840jpg_1597738438.jpg",14
22,,,,15,362.47,424.44,3,"120040",,0,0,426.7025,851.1446,575.93,938.396,288,98,1,4,"1597738371612200806-tempo-test-a-0003-3840jpg_1597738438.jpg",14
23,,,,15,414.47,499.25,3,"220041",,0,0,328.8612,828.1127,1160.9723,1575.4453,24,99,1,4,"1597738371612200806-tempo-test-a-0003-3840jpg_1597738438.jpg",14
24,,,,15,545.23,448.85,3,"220080",,0,0,382.8864,831.7314,1751.7073,2296.9359,168,108,1,4,"1597738371612200806-tempo-test-a-0003-3840jpg_1597738438.jpg",14
25,,,,16,560.81,642.92,3,"220050",,0,0,2997.0267,3639.95,486.232,1047.0403,56,97,1,4,"1597738371612200806-tempo-test-a-0004-3840jpg_1597738448.jpg",14
26,,,,16,583.88,557.65,3,"220079",,0,0,3064.496,3622.1506,1127.7338,1711.6104,164,98,1,4,"1597738371612200806-tempo-test-a-0004-3840jpg_1597738448.jpg",14
27,,,,16,606.65,601.92,3,"220052",,0,0,3006.8726,3608.7974,1732.4621,2339.1117,296,99,1,4,"1597738371612200806-tempo-test-a-0004-3840jpg_1597738448.jpg",14
28,,,,16,547.52,534.79,3,"220078",,0,0,2153.5512,2688.3382,512.6553,1060.1754,160,100,1,4,"1597738371612200806-tempo-test-a-0004-3840jpg_1597738448.jpg",14
29,,,,16,527.94,567.27,3,"220064",,0,0,2114.6463,2681.9156,1155.8455,1683.7818,104,101,1,4,"1597738371612200806-tempo-test-a-0004-3840jpg_1597738448.jpg",14
30,,,,16,578.14,535.9,3,"220036",,0,0,2135.0624,2670.9657,1768.6058,2346.7478,8,102,1,4,"1597738371612200806-tempo-test-a-0004-3840jpg_1597738448.jpg",14
31,,,,16,575.96,554.91,3,"220050",,0,0,1178.3688,1733.283,482.2508,1058.2135,56,103,1,4,"1597738371612200806-tempo-test-a-0004-3840jpg_1597738448.jpg",14
32,,,,16,552.71,588.92,3,"220081",,0,0,1155.5841,1744.5042,1150.0109,1702.7163,172,104,1,4,"1597738371612200806-tempo-test-a-0004-3840jpg_1597738448.jpg",14
33,,,,16,551.18,545.8,3,"220041",,0,0,1180.4725,1726.2681,1783.9388,2335.1205,24,105,1,4,"1597738371612200806-tempo-test-a-0004-3840jpg_1597738448.jpg",14
34,,,,16,387.82,395.33,3,"220040",,0,0,465.2028,860.5349,576.8691,964.6889,20,98,1,4,"1597738371612200806-tempo-test-a-0004-3840jpg_1597738448.jpg",14
35,,,,16,426.46,544.64,3,"220030",,0,0,320.2977,864.9357,1154.1215,1580.5834,292,107,1,4,"1597738371612200806-tempo-test-a-0004-3840jpg_1597738448.jpg",14
36,,,,16,566.02,450.73,3,"220080",,0,0,380.0516,830.7865,1736.5883,2302.6055,168,108,1,4,"1597738371612200806-tempo-test-a-0004-3840jpg_1597738448.jpg",14
37,,,,17,549.61,638.26,3,"220050",,0,0,2997.9598,3636.2175,496.4964,1046.1071,56,97,1,4,"1597738371613200806-tempo-test-a-0005-3840jpg_1597738456.jpg",14
38,,,,17,568.14,548.04,3,"220079",,0,0,3081.1033,3629.1431,1146.9633,1715.1066,164,98,1,4,"1597738371613200806-tempo-test-a-0005-3840jpg_1597738456.jpg",14
39,,,,17,596.26,601.92,3,"220052",,0,0,3009.7074,3611.6323,1733.4071,2329.6623,296,99,1,4,"1597738371613200806-tempo-test-a-0005-3840jpg_1597738456.jpg",14
40,,,,17,574.81,544.79,3,"220078",,0,0,2144.4561,2689.2477,497.1938,1071.9989,160,100,1,4,"1597738371613200806-tempo-test-a-0005-3840jpg_1597738456.jpg",14
41,,,,17,523.57,572.51,3,"220064",,0,0,2115.5204,2688.0341,1164.5862,1688.1521,104,101,1,4,"1597738371613200806-tempo-test-a-0005-3840jpg_1597738456.jpg",14
42,,,,17,600.14,522.7,3,"220036",,0,0,2150.0219,2672.7256,1768.6058,2368.7471,8,102,1,4,"1597738371613200806-tempo-test-a-0005-3840jpg_1597738456.jpg",14
43,,,,17,584.57,556.83,3,"220050",,0,0,1175.4985,1732.3262,490.8615,1075.435,56,103,1,4,"1597738371613200806-tempo-test-a-0005-3840jpg_1597738456.jpg",14
